Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2006,27001,50760000,Oak Park Park District,0.435,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.046007403,0.098935704
2006,27001,43020000,Triton Community College District 504,0.24,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.025383395,0.054585216
2006,27001,42020000,Consolidated High School 200,2.905,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.307244844,0.660708552
2006,27001,40580000,School District 97,3.136,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.331676362,0.713246822
2006,27001,30920001,Village of Oak Park Library Fund,0.521,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.05510312,0.118495406
2006,27001,30920000,Village of Oak Park,1.119,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.118350079,0.25450357
2006,27001,20180004,Oak Park Mental Health District,0.087,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.009201481,0.019787141
2006,27001,20180002,General Assistance Oak Park,0.028,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.002961396,0.006368275
2006,27001,20180000,Town Oak Park,0.126,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.013326282,0.028657238
2006,27001,10020000,Forest Preserve District of Cook County,0.057,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.006028556,0.012963989
2006,27001,10010001,Consolidated Elections,0,9.455,Oak Park,15,8.4,2.7076,2.150430072,0,0
2006,27001,10010000,Cook County,0.5,9.455,Oak Park,15,8.4,2.7076,2.150430072,0.052882073,0.1137192
2007,27010,20180000,Town Oak Park,0.124,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.013417009,0.029622062
2007,27010,10020000,Forest Preserve District of Cook County,0.053,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.005734689,0.012661043
2007,27010,10010001,Consolidated Elections,0.012,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27010,10010000,Cook County,0.446,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.048257953,0.10654387
2007,27009,990020000,Suburban Tuberculosis Sanitarium,0,9.242,Oak Park,16,8.4,2.8439,2.207799199,0,0
2007,27009,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27009,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.263,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.028457044,0.062827439
2007,27009,50760000,Oak Park Park District,0.447,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.048366155,0.106782757
2007,27009,43020000,Triton Community College District 504,0.224,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.024237178,0.053510822
2007,27009,42020000,Consolidated High School 200,2.848,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.308158407,0.680351885
2007,27009,40580000,School District 97,3.059,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.330988963,0.730757168
2007,27009,30920502,TIF Village of Oak Park-Madison St Business Cord,0,9.242,Oak Park,16,8.4,2.8439,2.207799199,0,0
2007,27009,30920001,Village of Oak Park Library Fund,0.51,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.055182861,0.121832676
2007,27009,30920000,Village of Oak Park,1.13,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.122267907,0.269942988
2007,27009,20180004,Oak Park Mental Health District,0.084,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.009088942,0.020066558
2007,27009,20180002,General Assistance Oak Park,0.03,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.003246051,0.007166628
2007,27009,20180000,Town Oak Park,0.124,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.013417009,0.029622062
2007,27010,20180002,General Assistance Oak Park,0.03,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.003246051,0.007166628
2007,27010,20180004,Oak Park Mental Health District,0.084,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.009088942,0.020066558
2007,27010,30920000,Village of Oak Park,1.13,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.122267907,0.269942988
2007,27010,30920001,Village of Oak Park Library Fund,0.51,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.055182861,0.121832676
2007,27011,30920104,Village of Oak Park Special Service Area 5,0.451,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.046528423,0.107738308
2007,27011,30920001,Village of Oak Park Library Fund,0.51,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.052615289,0.121832676
2007,27011,30920000,Village of Oak Park,1.13,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.116578975,0.269942988
2007,27011,20180004,Oak Park Mental Health District,0.084,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.008666048,0.020066558
2007,27011,20180002,General Assistance Oak Park,0.03,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.003095017,0.007166628
2007,27011,20180000,Town Oak Park,0.124,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.012792737,0.029622062
2007,27011,10020000,Forest Preserve District of Cook County,0.053,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.005467863,0.012661043
2007,27011,10010001,Consolidated Elections,0.012,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.001238007,0.002866651
2007,27009,10020000,Forest Preserve District of Cook County,0.053,9.242,Oak Park,16,8.4,2.8439,2.207799199,0.005734689,0.012661043
2007,27011,10010000,Cook County,0.446,9.693,Oak Park,16,8.4,2.8439,2.315537507,0.046012586,0.10654387
2007,27010,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.00129842,0.002866651
2007,27010,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.263,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.028457044,0.062827439
2007,27010,50760000,Oak Park Park District,0.447,9.242,Oak Park,17,8.4,2.8439,2.207799199,0.048366155,0.106782757
